"id","weekend_gross","weekend_session_gross","gross","session_gross","weekend_viewers","viewers","n_copies","n_weekends","distributor","movie_ref","weekend"
40223,249833437,152523,249833437,140356,878779,878779,1638,1,"Disney Studios",775273,"2021-01-22"
40224,74918875,38959,1978527529,997745,296334,3859121,1923,4,"Disney Studios",1249172,"2021-01-22"
40225,206562131,120094,879454114,494075,754160,3260910,1720,3,"Disney Studios",775273,"2021-02-05"
40226,203101342,115859,203101342,115859,707047,707047,1753,1,"Sony Pictures Production and Releasing",1274271,"2021-02-12"
40227,139348249,71792,1873835885,944950,542381,6415447,1941,3,"Disney Studios",1249172,"2021-01-15"
40228,529861221,267202,1661177563,837709,1814435,5550077,1983,2,"Disney Studios",1249172,"2021-01-08"
40229,605342792,307125,605342792,305266,1977904,1977904,1971,1,"Disney Studios",1249172,"2021-01-01"
40230,258455807,145200,607584611,341340,952279,2230771,1780,2,"Disney Studios",775273,"2021-01-29"
40231,56792028,58308,822828721,412239,201560,2846459,974,5,"Централ Партнершип",1183599,"2021-01-22"
40232,54437630,73071,162042621,217507,116118,524613,745,2,"Каро-Премьер",1290490,"2021-02-05"
40233,144543816,113904,1071758840,602112,524626,4009176,1269,4,"Disney Studios",775273,"2021-02-12"
40234,745705144,434813,1064922705,588355,2699965,3795338,1715,2,"Централ Партнершип",930878,"2019-01-04"
40235,129002826,68437,181983038,96543,420610,517696,1885,2,"Каро-Премьер",1046969,"2021-01-15"
40236,195610207,102521,616400509,308818,633192,2027513,1908,3,"Централ Партнершип",1183599,"2021-01-08"
40237,187012376,104418,471908482,262755,646464,1828515,1791,3,"UPI",758178,"2021-01-01"
40238,79257207,107104,79257207,106386,245355,245355,740,1,"Каро-Премьер",1290490,"2021-01-29"
40239,44040553,23364,256413920,136029,146375,786008,1885,3,"Каро-Премьер",1046969,"2021-01-22"
40240,36150079,23026,135312627,86186,125636,469966,1570,2,"Sony Pictures Production and Releasing",1038789,"2021-02-05"
40241,50129358,27141,50129358,27141,173829,173829,1847,1,"Каропрокат",1412516,"2021-02-12"
40242,388000000,208939,1361500000,733172,1400722,5099250,1857,3,"Каропрокат",1161783,"2019-01-04"
40243,84815837,47516,740394717,370939,312954,2520170,1785,4,"Централ Партнершип",1183599,"2021-01-15"
40244,165240843,92005,802197409,446658,598274,3013818,1796,4,"UPI",758178,"2021-01-08"
40245,149456291,74878,260058973,130290,468096,880116,1996,2,"Централ Партнершип",1183599,"2021-01-01"
40246,78343945,55445,78343945,49901,260693,260693,1413,1,"Sony Pictures Production and Releasing",1038789,"2021-01-29"
40247,40300310,24161,40300310,24161,146656,146656,1668,1,"Каропрокат",1402921,"2021-01-22"
40248,27877581,37220,2069715518,1043729,109093,7251583,749,6,"Disney Studios",1249172,"2021-02-05"
